"Category","Percentage"
"Less than high school",2.8
"High school diploma or GED",10.1
"Some college or associate degree",23
"Bachelor's degree",47
"Graduate or professional degree",17.1
"High school graduate or higher",97.2
"Bachelor's degree or higher",64.1
