"Category","Percentage"
"Less than high school",6.6
"High school diploma or GED",17.6
"Some college or associate degree",23.4
"Bachelor's degree",31.4
"Graduate or professional degree",21
"High school graduate or higher",93.4
"Bachelor's degree or higher",52.3
