"Category","Percentage"
"Less than high school",3.2
"High school diploma or GED",12
"Some college or associate degree",21
"Bachelor's degree",38.6
"Graduate or professional degree",25.3
"High school graduate or higher",96.8
"Bachelor's degree or higher",63.8
