"Category","Percentage"
"Less than high school",3
"High school diploma or GED",9
"Some college or associate degree",29.7
"Bachelor's degree",38.6
"Graduate or professional degree",19.8
"High school graduate or higher",97
"Bachelor's degree or higher",58.3
