"Category","Percentage"
"Less than high school",1.5
"High school diploma or GED",5.2
"Some college or associate degree",20.6
"Bachelor's degree",48.2
"Graduate or professional degree",24.6
"High school graduate or higher",98.5
"Bachelor's degree or higher",72.7
