"Category","Percentage"
"Less than high school",23.9
"High school diploma or GED",14.5
"Some college or associate degree",26.4
"Bachelor's degree",23.8
"Graduate or professional degree",11.5
"High school graduate or higher",76.1
"Bachelor's degree or higher",35.3
