"Category","Percentage"
"Less than high school",4.2
"High school diploma or GED",13.8
"Some college or associate degree",19.3
"Bachelor's degree",42.3
"Graduate or professional degree",20.4
"High school graduate or higher",95.8
"Bachelor's degree or higher",62.7
