"Category","Percentage"
"Less than high school",21.2
"High school diploma or GED",25.7
"Some college or associate degree",34.3
"Bachelor's degree",14.7
"Graduate or professional degree",4.2
"High school graduate or higher",78.8
"Bachelor's degree or higher",18.9
