"Category","Percentage"
"Less than high school",1.7
"High school diploma or GED",4.6
"Some college or associate degree",14.6
"Bachelor's degree",48.5
"Graduate or professional degree",30.5
"High school graduate or higher",98.3
"Bachelor's degree or higher",79.1
