"Category","Percentage"
"Less than high school",2
"High school diploma or GED",5.4
"Some college or associate degree",14.9
"Bachelor's degree",38.2
"Graduate or professional degree",39.5
"High school graduate or higher",98
"Bachelor's degree or higher",77.7
