"Category","Percentage"
"Less than high school",8
"High school diploma or GED",9.7
"Some college or associate degree",17.4
"Bachelor's degree",40.5
"Graduate or professional degree",24.5
"High school graduate or higher",92
"Bachelor's degree or higher",64.9
