"Category","Percentage"
"Less than high school",9.6
"High school diploma or GED",14.5
"Some college or associate degree",24.1
"Bachelor's degree",31.7
"Graduate or professional degree",20.1
"High school graduate or higher",90.4
"Bachelor's degree or higher",51.8
